term.id	term.name	term.size	p.value
GO:0010833	telomere maintenance via telomere lengthening	56	0.00367
GO:0005720	nuclear heterochromatin	20	0.00387
GO:0000381	regulation of alternative mRNA splicing, via spliceosome	25	0.00422
GO:0044389	ubiquitin-like protein ligase binding	237	0.00456
GO:0032269	negative regulation of cellular protein metabolic process	629	0.00459
GO:1905330	regulation of morphogenesis of an epithelium	124	0.00466
GO:0001077	transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding	124	0.00466
GO:0001047	core promoter binding	103	0.0049
GO:1905269	positive regulation of chromatin organization	63	0.00501
GO:0016571	histone methylation	76	0.00511
GO:0060249	anatomical structure homeostasis	222	0.00512
GO:0005838	proteasome regulatory particle	18	0.00537
GO:0031440	regulation of mRNA 3'-end processing	18	0.00537
GO:0034243	regulation of transcription elongation from RNA polymerase II promoter	18	0.00537
GO:0005697	telomerase holoenzyme complex	18	0.00537
GO:0031625	ubiquitin protein ligase binding	234	0.00539
GO:0002223	stimulatory C-type lectin receptor signaling pathway	100	0.00564
GO:0019319	hexose biosynthetic process	57	0.00567
GO:0006734	NADH metabolic process	28	0.00575
GO:0005832	chaperonin-containing T-complex	8	0.00588
GO:1904871	positive regulation of protein localization to Cajal body	8	0.00588
GO:1904869	regulation of protein localization to Cajal body	8	0.00588
GO:0032206	positive regulation of telomere maintenance	42	0.006
GO:0031647	regulation of protein stability	173	0.00609
GO:0019213	deacetylase activity	45	0.00618
GO:0070491	repressing transcription factor binding	45	0.00618
GO:0006511	ubiquitin-dependent protein catabolic process	393	0.00623
GO:0000724	double-strand break repair via homologous recombination	70	0.00624
GO:0051704	multi-organism process	1146	0.00634
GO:0010390	histone monoubiquitination	23	0.00638
GO:0006297	nucleotide-excision repair, DNA gap filling	23	0.00638
GO:0005819	spindle	166	0.00683
GO:0004812	aminoacyl-tRNA ligase activity	31	0.00714
GO:0000722	telomere maintenance via recombination	31	0.00714
GO:0036002	pre-mRNA binding	16	0.00715
GO:0010498	proteasomal protein catabolic process	320	0.00738
GO:0043021	ribonucleoprotein complex binding	58	0.00863
GO:0009056	catabolic process	1422	0.00883
GO:0006735	NADH regeneration	26	0.00897
GO:0061621	canonical glycolysis	26	0.00897
GO:0061718	glucose catabolic process to pyruvate	26	0.00897
GO:0061615	glycolytic process through fructose-6-phosphate	26	0.00897
GO:0061620	glycolytic process through glucose-6-phosphate	26	0.00897
GO:0070198	protein localization to chromosome, telomeric region	26	0.00897
GO:0000725	recombinational repair	71	0.00901
GO:0044802	single-organism membrane organization	653	0.00909
GO:0043486	histone exchange	37	0.00916
GO:0050434	positive regulation of viral transcription	37	0.00916
GO:0005687	U4 snRNP	10	0.0095
GO:0000244	spliceosomal tri-snRNP complex assembly	10	0.0095
GO:0097346	INO80-type complex	21	0.00951
GO:0030515	snoRNA binding	21	0.00951
GO:0043038	amino acid activation	40	0.00972
GO:0046496	nicotinamide nucleotide metabolic process	88	0.00972
GO:0019362	pyridine nucleotide metabolic process	88	0.00972
GO:0043039	tRNA aminoacylation	40	0.00972
GO:0044452	nucleolar part	43	0.01
GO:0002220	innate immune response activating cell surface receptor signaling pathway	102	0.0101
GO:0034709	methylosome	12	0.0101
GO:0032968	positive regulation of transcription elongation from RNA polymerase II promoter	12	0.0101
GO:0019884	antigen processing and presentation of exogenous antigen	157	0.0112
GO:0016874	ligase activity	113	0.0112
GO:0019843	rRNA binding	29	0.0113
GO:1900034	regulation of cellular response to heat	75	0.0115
GO:0000280	nuclear division	299	0.0124
GO:2000027	regulation of organ morphogenesis	150	0.0125
GO:0006283	transcription-coupled nucleotide-excision repair	72	0.0129
GO:0015030	Cajal body	32	0.0133
GO:0016876	ligase activity, forming aminoacyl-tRNA and related compounds	32	0.0133
GO:0016875	ligase activity, forming carbon-oxygen bonds	32	0.0133
GO:0006270	DNA replication initiation	24	0.0139
GO:0046540	U4/U6 x U5 tri-snRNP complex	19	0.0139
GO:0006376	mRNA splice site selection	19	0.0139
GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle	24	0.0139
GO:0006417	regulation of translation	208	0.0142
GO:0047485	protein N-terminus binding	69	0.0143
GO:0021762	substantia nigra development	35	0.0148
GO:0035770	ribonucleoprotein granule	118	0.0162
GO:0006733	oxidoreduction coenzyme metabolic process	97	0.0181
GO:0051817	modification of morphology or physiology of other organism involved in symbiotic interaction	73	0.0182
GO:0048002	antigen processing and presentation of peptide antigen	167	0.0189
GO:0050821	protein stabilization	115	0.019
GO:0031400	negative regulation of protein modification process	410	0.0191
GO:0061695	transferase complex, transferring phosphorus-containing groups	198	0.0195
GO:0051248	negative regulation of protein metabolic process	670	0.0205
GO:0000717	nucleotide-excision repair, DNA duplex unwinding	22	0.0214
GO:0036464	cytoplasmic ribonucleoprotein granule	112	0.0222
GO:0003725	double-stranded RNA binding	54	0.0224
GO:0006094	gluconeogenesis	54	0.0224
GO:0043967	histone H4 acetylation	54	0.0224
GO:0051082	unfolded protein binding	54	0.0224
GO:0035257	nuclear hormone receptor binding	105	0.0233
GO:0006301	postreplication repair	51	0.0239
GO:0000077	DNA damage checkpoint	127	0.0248
GO:0034719	SMN-Sm protein complex	15	0.0275
GO:0070822	Sin3-type complex	15	0.0275
GO:0005685	U1 snRNP	15	0.0275
GO:0006346	methylation-dependent chromatin silencing	15	0.0275
GO:0030894	replisome	25	0.0284
GO:0009896	positive regulation of catabolic process	268	0.0291
GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	7	0.0299
GO:0044106	cellular amine metabolic process	92	0.0322
GO:0044839	cell cycle G2/M phase transition	162	0.0324
GO:0031055	chromatin remodeling at centromere	28	0.0343
GO:0071004	U2-type prespliceosome	13	0.036
GO:0000027	ribosomal large subunit assembly	13	0.036
GO:0006096	glycolytic process	52	0.0361
GO:0031072	heat shock protein binding	52	0.0361
GO:0006998	nuclear envelope organization	65	0.0362
GO:0009894	regulation of catabolic process	386	0.0382
GO:0042769	DNA damage response, detection of DNA damage	31	0.0387
GO:0006409	tRNA export from nucleus	31	0.0387
GO:0071431	tRNA-containing ribonucleoprotein complex export from nucleus	31	0.0387
GO:0045786	negative regulation of cell cycle	361	0.0394
GO:0051348	negative regulation of transferase activity	254	0.0409
GO:0051568	histone H3-K4 methylation	34	0.0415
GO:0048857	neural nucleus development	40	0.0431
GO:0042405	nuclear inclusion body	11	0.0431
GO:0070202	regulation of establishment of protein localization to chromosome	11	0.0431
GO:0010565	regulation of cellular ketone metabolic process	122	0.0435
GO:0031597	cytosolic proteasome complex	9	0.0437
GO:0000478	endonucleolytic cleavage involved in rRNA processing	9	0.0437
GO:0031441	negative regulation of mRNA 3'-end processing	9	0.0437
GO:1904851	positive regulation of establishment of protein localization to telomere	9	0.0437
GO:1904867	protein localization to Cajal body	9	0.0437
GO:1903405	protein localization to nuclear body	9	0.0437
GO:1990173	protein localization to nucleoplasm	9	0.0437
GO:0003746	translation elongation factor activity	9	0.0437
GO:0034968	histone lysine methylation	59	0.0447
GO:0070199	establishment of protein localization to chromosome	23	0.0448
GO:0080135	regulation of cellular response to stress	456	0.0476
GO:0031935	regulation of chromatin silencing	18	0.049
GO:0034605	cellular response to heat	90	0.0496
